chromosome,start,end,type,strand,expression,optimality,halflife,length
chrIV,1447830,1450073,mRNA,+,2237,0.2104347826086957,5.928766560675033,2243
chrIV,1451353,1452918,mRNA,+,1072,0.2002933043478263,29.45362414418437,1565
chrIV,1455042,1455866,mRNA,-,844,0.1996684782608695,28.45324417638733,824
chrIV,1456695,1459220,mRNA,-,6363,0.1462857142857143,34.31944548627586,2525
chrIV,1462358,1465786,mRNA,-,8137,0.233248,59.387751856841476,3428
chrIV,1468226,1468573,mRNA,+,2414,0.2108005540166205,39.90077853249635,347
chrIV,1469695,1469811,mRNA,-,596,0.22820579710144906,9.151619805335987,116
chrIV,1470500,1471063,mRNA,-,1351,0.18329170940170944,17.625409722601553,563
chrIV,1474974,1476476,mRNA,-,4084,0.21452538071065988,31.58686211198995,1502
chrIV,1478608,1480161,mRNA,+,2286,0.193492385786802,25.974779673982404,1553
chrIV,1481085,1483403,mRNA,-,1734,0.2094556213017754,31.056553604585822,2318
chrIV,1483795,1485303,mRNA,-,496,0.2112788225538976,1.9140152376191928,1508
chrIV,1487542,1488990,mRNA,-,2504,0.1947926829268292,69.2055697665825,1448
chrIV,1489598,1489798,mRNA,-,26955,0.2028907723577234,215.84215519633963,200
chrIV,1489905,1490234,mRNA,+,94,0.20997853747714826,1.6786684302052735,329
chrIV,1491075,1491545,mRNA,-,1386,0.1970673649538867,39.19989458177284,470
chrIV,1494586,1495857,mRNA,+,1362,0.216485022222222,46.596329364687655,1271
chrIV,1496791,1497768,mRNA,-,1405,0.25010898648648644,2.1597101380692294,977
chrIV,1499396,1500553,mRNA,-,1229,0.2345405405405405,0.17265305970695266,1157
chrIV,1503314,1504900,mRNA,-,476,0.19524752475247525,25.92523364027936,1586
chrIV,1508005,1509714,mRNA,+,908,0.2073883495145628,24.460994517010548,1709
chrIV,1510902,1511630,mRNA,+,830,0.21633639902676385,1.002366489380634,728
chrIV,1517136,1517675,mRNA,-,333,0.18211194444444448,12.630894336381541,539
chrIV,1524634,1524933,mRNA,-,119,0.2478693693693691,0.33894684629031113,299
chrIV,1526321,1531711,mRNA,+,0,0.1825279474548441,67.8431171161887,5390
chrIX,483,6147,mRNA,-,0,0.19651199261992616,94.19619683688819,5664
chrIX,8793,9155,mRNA,-,0,0.20281460966542747,1.2972247416425198,362
chrIX,16784,18553,mRNA,-,0,0.18201839590443675,6.898843305893497,1769
chrIX,23119,26106,mRNA,-,8942,0.20704283849918448,180.47391632858654,2987
chrIX,36899,37252,mRNA,-,198,0.19726857142857146,0.452974905809449,353
chrIX,39433,40140,mRNA,+,1008,0.1937861386138616,2.122562717766238,707
chrIX,41825,45952,mRNA,+,2684,0.20356129032258047,163.68433043522055,4127
chrIX,46949,47542,mRNA,-,1586,0.18634232597623065,5.000555888140429,593
chrIX,47690,47973,mRNA,+,1067,0.20989699570815448,0.8844414452162646,283
chrIX,51759,53708,mRNA,-,4559,0.19650750318471355,49.40284766107392,1949
chrIX,55198,56379,mRNA,+,1819,0.21534767361111087,58.67480385881613,1181
chrIX,57338,60694,mRNA,-,5001,0.17912121212121218,41.794967130457835,3356
chrIX,63028,68067,mRNA,-,10572,0.2051777450980393,237.82486988336228,5039
chrIX,69791,73453,mRNA,-,5722,0.2055128805620609,43.05654021934579,3662
chrIX,76354,77283,mRNA,-,2430,0.19906208053691324,8.682069543910451,929
chrIX,80510,83041,mRNA,-,3799,0.2179647058823527,46.58988250214202,2531
chrIX,83302,84885,mRNA,+,8783,0.187900294494238,260.63295160186567,1583
chrIX,85366,87837,mRNA,+,3379,0.19365068337129832,66.96238501415522,2471
chrIX,89230,89715,mRNA,-,3885,0.2566270022883297,19.663894829773614,485
chrIX,93619,94800,mRNA,+,2044,0.22434579268292693,7.74111855477406,1181
chrIX,96522,96725,mRNA,-,51,0.19342714839961173,4.008403493986766,203
chrIX,98527,99416,mRNA,-,19399,0.21200561797752834,316.98697247042185,889
chrIX,100781,102235,mRNA,-,2207,0.2076595019157087,9.19951203440359,1454
chrIX,106107,113237,mRNA,-,14582,0.20246737683089194,78.4140392476296,7130
chrIX,117024,117644,mRNA,-,1236,0.20967797432239665,22.120038740106573,620
chrIX,122689,125733,mRNA,+,15976,0.22202151515151514,18.31464225312918,3044
chrIX,127662,129581,mRNA,+,7445,0.19000989847715646,47.824373893224056,1919
chrIX,132244,133872,mRNA,+,4565,0.19425395017793576,8.536863063194062,1628
chrIX,136654,137877,mRNA,-,2004,0.1926091954022987,6.437977145305606,1223
chrIX,140613,141569,mRNA,-,1774,0.1897707006369425,40.12641437129474,956
chrIX,144268,144639,mRNA,+,1197,0.2130299344262292,40.9149174215255,371
chrIX,149143,149988,mRNA,-,1508,0.24119948186528506,41.305897511884595,845
chrIX,151595,154846,mRNA,+,4843,0.1997294448205821,13.555250634738634,3251
chrIX,156045,157178,mRNA,+,2037,0.19473096774193527,87.92142151460894,1133
chrIX,160887,162977,mRNA,+,3249,0.23970900692840666,8.915353140413082,2090
chrIX,166415,167444,mRNA,+,1568,0.21831748726655387,27.763785239212588,1029
chrIX,167664,167804,mRNA,+,316,0.1966057305194808,0.8707971758241959,140
chrIX,171751,173028,mRNA,+,2137,0.1935205479452055,99.97577954519359,1277
chrIX,174582,174887,mRNA,-,160,0.18696248366013068,3.4582513371349535,305
chrIX,177343,177681,mRNA,-,113,0.20142850393700776,7.118703123995875,338
chrIX,180427,181977,mRNA,+,1388,0.2028766249999999,27.12145801687672,1550
chrIX,187990,188784,mRNA,-,1097,0.21413332103321,2.8320748021561712,794
chrIX,191030,193195,mRNA,-,3417,0.1995991076115483,93.12641608432611,2165
chrIX,195599,196216,mRNA,+,375,0.19678944444444446,7.20718827620714,617
chrIX,199646,200119,mRNA,-,618,0.1995652173913044,7.63665813293447,473
chrIX,200490,202043,mRNA,-,3022,0.22489411764705874,31.72876815565506,1553
chrIX,203556,204653,mRNA,-,1838,0.20248993288590594,5.393805652849849,1097
chrIX,210923,212005,mRNA,-,1521,0.1939794871794873,15.725024398106159,1082
chrIX,214991,215953,mRNA,-,1476,0.2190827067669172,65.38701402484645,962
chrIX,217863,220700,mRNA,-,14773,0.1977964258793972,86.67552254486559,2837
chrIX,222937,225954,mRNA,-,1394,0.24615306122449,77.5543627204564,3017
chrIX,228550,229026,mRNA,+,541,0.2285382933709449,5.2404819690979885,476
chrIX,230272,231072,mRNA,-,1746,0.22052941176470586,45.514871693581206,800
chrIX,233013,233396,mRNA,+,558,0.2001049484536085,5.346275050051064,383
chrIX,235724,237760,mRNA,-,1594,0.21006560000000007,78.26693438272406,2036
chrIX,238099,240708,mRNA,-,755,0.217633313253012,60.406335263358244,2609
chrIX,241943,242716,mRNA,+,1176,0.19508061954624734,11.490942743765615,773
chrIX,243998,244462,mRNA,-,3634,0.20170135483870988,0.13433854403335843,464
chrIX,246392,246826,mRNA,+,333,0.2273864467005073,5.929982112857557,434
chrIX,246914,247198,mRNA,+,198,0.2332333333333333,5.77242406171133,284
chrIX,249991,251913,mRNA,+,2134,0.2027675238095241,25.67989322352488,1922
chrIX,254543,254860,mRNA,+,149,0.2493223140495868,6.909620687980574,317
chrIX,256226,257063,mRNA,-,25255,0.1980557980456024,218.44490217078544,837
chrIX,258913,259770,mRNA,+,933,0.2136504062499998,22.23067265766028,857
chrIX,261437,264892,mRNA,+,5497,0.18332766666666647,54.652693245598,3455
chrIX,265115,267823,mRNA,-,8366,0.19983428115015964,117.59454325089473,2708
chrIX,268651,270573,mRNA,+,2814,0.20273419999999995,57.05790847244663,1922
chrIX,272950,273846,mRNA,-,2125,0.21347969543147235,9.693135472960385,896
chrIX,275108,276292,mRNA,-,1007,0.19958024691358028,29.736920820076428,1184
chrIX,278426,279847,mRNA,+,3707,0.2547473684210526,55.49265861568429,1421
chrIX,285666,287429,mRNA,+,3277,0.1764000000000001,40.271548454409185,1763
chrIX,289226,290089,mRNA,-,3872,0.20228296037296065,24.80508685202195,863
chrIX,291961,292317,mRNA,-,131,0.20126353813559325,4.4665177110698,356
chrIX,295565,295903,mRNA,+,388,0.19815438077634026,5.137558319157998,338
chrIX,299735,300106,mRNA,+,780,0.1928169014084508,17.181792948834,371
chrIX,302100,302498,mRNA,+,212,0.2122715105162525,5.556050928051186,398
chrIX,309386,310426,mRNA,-,1524,0.19698120300751865,26.13689133303791,1040
chrIX,312905,313861,mRNA,+,2410,0.18170536082474206,52.25523776910517,956
chrIX,315093,316133,mRNA,+,1014,0.19788864935064912,49.33563615132623,1040
chrIX,321454,321933,mRNA,+,1609,0.2342718023255815,44.274836305018965,479
chrIX,328207,332442,mRNA,-,2653,0.21460937499999969,150.52385100386005,4235
chrIX,333727,334536,mRNA,+,349,0.18702108402489506,1.0175525249250903,809
chrIX,335666,336212,mRNA,-,1055,0.2425210084033614,26.16329552111689,546
chrIX,342536,342835,mRNA,+,725,0.20019033232628394,1.9918392147728134,299
chrIX,344062,345183,mRNA,+,519,0.19746349056603776,5.257306700152583,1121
chrIX,347946,348505,mRNA,-,1322,0.1937647314049587,7.953498849193133,559
chrIX,350301,350510,mRNA,+,1125,0.2201049913941482,16.99420832681916,209
chrIX,353940,355481,mRNA,+,1082,0.2588461538461539,22.03203367259397,1541
chrIX,357415,360396,mRNA,-,3483,0.22515520348837212,71.93258124734389,2981
chrIX,363221,364519,mRNA,+,3419,0.195954118895966,7.18649586358875,1298
chrIX,365466,369908,mRNA,-,13966,0.1833875217391303,189.21074706998573,4442
chrIX,375431,377161,mRNA,+,2035,0.22114860655737706,109.25059752610127,1730
chrIX,381086,381814,mRNA,+,608,0.19628048780487795,1.3058285951420299,728
chrIX,382628,383425,mRNA,+,1322,0.1878471250000001,21.283726043206094,797
chrIX,383566,384165,mRNA,+,401,0.21482827102803745,4.1833030269076135,599
chrIX,385564,385701,mRNA,-,143,0.2361399176954731,1.6958020522252095,137
chrIX,394255,394557,mRNA,-,237,0.1992172313296905,6.952842176390755,302
chrIX,397215,397949,mRNA,-,826,0.20480405405405405,19.744407532641382,734
chrIX,398514,398726,mRNA,+,139,0.296296875,1.3669787214159845,212
chrIX,399777,402689,mRNA,+,3438,0.18220658192090367,8.9370056690843,2912
chrIX,402841,403491,mRNA,-,737,0.23032786885245896,14.45325398304242,650
chrIX,404873,405967,mRNA,-,1522,0.22375875,1.721287687966301,1094
chrIX,408468,410375,mRNA,+,689,0.20197420338983044,67.37437364269586,1907
chrIX,412036,412770,mRNA,-,460,0.1891554143646408,1.326369855225371,734
chrIX,413015,414679,mRNA,-,1915,0.22456358361774748,18.041938339152534,1664
chrIX,416124,419465,mRNA,+,8841,0.17899099099099106,163.54524435069283,3341
chrIX,421026,421790,mRNA,-,2935,0.1935848303393216,32.26748415408174,764
chrIX,422635,423036,mRNA,+,1173,0.20525899999999986,4.34775682250481,401
chrIX,423809,424513,mRNA,-,1579,0.20278309192200547,33.28954135494704,704
chrIX,433389,433721,mRNA,-,27,0.2385741883767536,0.8121413755185372,332
chrIX,435273,435983,mRNA,-,303,0.2066899563318776,19.914598445911814,710
chrV,630,1112,mRNA,+,91,0.2065065116279068,6.9175097210689565,482
chrV,4870,5481,mRNA,+,38,0.1906206896551724,22.66296493599796,611
chrV,7230,7553,mRNA,-,307,0.22215384615384606,1.6346194934538016,323
chrV,16355,17845,mRNA,+,8524,0.18764999999999976,64.75356230634895,1490
chrV,27657,29543,mRNA,+,1263,0.18394443049327314,21.41279542304248,1886
chrV,36535,39537,mRNA,-,4629,0.18216847826086952,157.24132452405146,3002
chrV,42400,42624,mRNA,-,237,0.2051888449848022,4.6445659368276795,224
chrV,43252,44925,mRNA,+,4462,0.18597461077844288,44.22434850469002,1673
chrV,47168,48373,mRNA,+,1962,0.1921722641509434,26.9591993748562,1205
chrV,52721,53218,mRNA,-,26738,0.20050552542372868,413.33588135805996,497
chrV,53901,56102,mRNA,-,2026,0.1878798936170212,37.80265284573407,2201
chrV,58378,59148,mRNA,+,9259,0.2276059027777778,71.70084158075665,770
chrV,59670,60851,mRNA,-,2112,0.2311385964912281,7.323838150454538,1181
chrV,64709,65167,mRNA,-,451,0.2223059628378378,22.69909330884623,458
chrV,69757,70257,mRNA,+,1092,0.1914089663461529,27.541751700314833,500
chrV,78053,79456,mRNA,+,15666,0.19764262962962967,53.38539450664531,1403
chrV,80462,81145,mRNA,+,2365,0.2221284403669724,0.6717048800733068,683
chrV,83050,84552,mRNA,-,3201,0.206234298245614,3.0146846902534925,1502
chrV,85613,86215,mRNA,-,25481,0.2061247863247864,178.34675734020226,602
chrV,86179,86598,mRNA,+,4429,0.21018867924528287,50.969876397987576,419
chrV,87040,87201,mRNA,-,372,0.211866111111111,10.85214015651287,161
chrV,94583,94897,mRNA,-,121,0.2011595576619276,3.6149753849382242,314
chrV,96858,97796,mRNA,-,1251,0.2272061589403973,25.76776030730772,938
chrV,100769,101251,mRNA,+,11478,0.1934209885057472,65.6195413459653,482
chrV,102581,106147,mRNA,-,5905,0.1897338686131387,105.95193682508,3566
chrV,108504,110552,mRNA,-,1741,0.18585770562770546,18.32803563491116,2048
chrV,117211,117474,mRNA,+,1829,0.20022772277227727,27.219119503546402,263
chrV,120498,121301,mRNA,-,445,0.2157824279835389,23.467285370442095,803
chrV,121471,122310,mRNA,+,1103,0.1932044791666665,44.79161660627739,839
chrV,123657,124670,mRNA,+,1668,0.20139488235294128,35.681208645648546,1013
chrV,126629,128284,mRNA,+,4083,0.211304953488372,93.62325377225446,1655
chrV,128825,130561,mRNA,+,8267,0.20143298969072124,29.895076618662685,1736
chrV,133120,135234,mRNA,+,2912,0.2217453531598512,5.892713968696899,2114
chrV,136371,136778,mRNA,-,89,0.2044619883040936,2.7526892627024386,407
chrV,140512,140892,mRNA,+,151,0.20592105263157887,5.731297841059233,380
chrV,141892,143892,mRNA,+,4542,0.2235643689320388,125.40546230468686,2000
chrV,148176,148599,mRNA,+,2096,0.2079656012658224,6.483614237241262,423
chrV,150301,150978,mRNA,-,4100,0.2293000000000001,36.72481347985343,677
chrV,156803,157498,mRNA,+,1513,0.20443010752688184,12.881698108005702,695
chrV,159580,160275,mRNA,+,2574,0.2180171038251364,0.6542901637240988,695
chrV,162723,164285,mRNA,+,4902,0.1960919861830743,56.17561490255081,1562
chrV,164527,166083,mRNA,+,1063,0.2002897687861272,41.56699540486642,1556
chrV,167808,171818,mRNA,-,7015,0.18958634579439207,116.94272356755329,4010
chrV,172634,173338,mRNA,-,1126,0.18327505882352915,32.3973900939022,704
chrV,177835,178431,mRNA,+,3479,0.19662565292096146,7.332541020607728,596
chrV,182600,184219,mRNA,+,2026,0.18155169611307406,7.871850831695831,1619
chrV,184541,186775,mRNA,+,1308,0.23489147286821704,44.442985843402965,2234
chrV,189503,191788,mRNA,-,4196,0.19265394218133988,34.45989468126145,2285
chrV,192797,194230,mRNA,+,2824,0.2079417475728155,18.609793472455472,1433
chrV,195168,196517,mRNA,+,2198,0.18108195402298846,21.328310943641025,1349
chrV,198812,200875,mRNA,+,2957,0.20304468677494186,27.851063178549786,2063
chrV,201522,201734,mRNA,-,1976,0.1878276031746033,16.040540281421812,212
chrV,205251,206834,mRNA,+,11157,0.19879464285714293,184.22985731541814,1583
chrV,208979,210232,mRNA,-,2575,0.19805291005291004,4.4593192199235325,1253
chrV,212587,213177,mRNA,-,966,0.2143544675925928,5.975037223076079,590
chrV,214076,214747,mRNA,-,2601,0.208376729475101,1.3201095082536494,671
chrV,218057,221287,mRNA,-,2801,0.2024601226993865,23.84724698389691,3230
chrV,222639,223076,mRNA,+,1231,0.1953728070175438,6.457119695250217,437
chrV,225889,226854,mRNA,+,3801,0.22131210191082795,25.948984282503098,965
chrV,228451,228831,mRNA,+,270,0.18154663747810887,8.606271613606275,380
chrV,229263,229481,mRNA,-,224,0.1918168978805392,2.277151357182302,218
chrV,232461,234740,mRNA,+,1986,0.20820513114754108,11.75280480959345,2279
chrV,235770,237119,mRNA,-,22024,0.22190315315315332,307.6035936950471,1349
chrV,238460,239774,mRNA,-,551,0.20086424460431648,38.864137126303795,1314
chrV,243180,243611,mRNA,+,454,0.2023558870967742,15.330067861600813,431
chrV,243810,246503,mRNA,-,2271,0.18957713395638606,29.685420604744536,2693
chrV,250718,251002,mRNA,+,1858,0.19826229357798164,48.706160823938596,284
chrV,253971,254387,mRNA,-,1896,0.21659719354838688,9.344975498658751,416
chrV,260933,261046,mRNA,-,307,0.20194710327455945,6.3908768947677865,113
chrV,269423,270185,mRNA,-,14101,0.20531346733668315,19.612876331051893,762
chrV,271768,272091,mRNA,+,424,0.1996324598070741,2.5369898689960966,323
chrV,274567,276153,mRNA,+,1477,0.2306284987277355,28.86323792468094,1586
chrV,278298,279626,mRNA,-,1592,0.22017671554252166,16.32425068825014,1328
chrV,281710,282366,mRNA,+,2839,0.1926870270270271,55.86674127121781,656
chrV,285241,286914,mRNA,-,2646,0.21567676767676744,38.686586857090845,1673
chrV,291703,292203,mRNA,-,660,0.2303952525252525,19.034295241719775,500
chrV,292240,292563,mRNA,-,848,0.16499999999999992,10.754000438806939,323
chrV,295301,295732,mRNA,-,763,0.2265467676767677,2.0660765372870724,431
chrV,298950,301616,mRNA,+,19286,0.22262166347992354,302.7039752167716,2666
chrV,307653,308123,mRNA,+,1650,0.21504870192307707,28.18869637985326,470
chrV,313390,313737,mRNA,+,261,0.20198912499999988,17.181222895418607,347
chrV,318646,318810,mRNA,+,69,0.2009578749999999,0.658195696709613,164
chrV,319963,321846,mRNA,+,5607,0.2057884,6.536525981776734,1883
chrV,326174,327031,mRNA,-,2519,0.19802091026468646,6.13061004482071,857
chrV,327598,328110,mRNA,+,169,0.21028346666666664,9.783327997411371,512
chrV,328477,330207,mRNA,+,7488,0.1824853571428571,114.99962327824785,1730
chrV,331817,332368,mRNA,-,580,0.21607917383821007,11.72945597365104,551
chrV,333176,335188,mRNA,-,5732,0.21526889279437625,7.396485538130868,2012
chrV,335927,336073,mRNA,+,451,0.22322778473091398,8.8881758587773,146
chrV,337949,339472,mRNA,+,5385,0.22321819188191847,17.78885085333921,1523
chrV,339864,342167,mRNA,-,23525,0.19415541033434625,120.07895741152075,2303
chrV,342855,343232,mRNA,+,1236,0.19839118733509226,1.8666334794329433,377
chrV,349980,351182,mRNA,+,2203,0.19470899999999985,35.65969797999192,1202
chrV,355140,355469,mRNA,+,217,0.19260020033389005,8.263443064027122,329
chrV,358105,359061,mRNA,-,1851,0.22354749999999987,24.7683162382262,956
chrV,360502,361794,mRNA,-,1002,0.19181370813397114,14.832369687243922,1292
chrV,364589,366517,mRNA,+,3086,0.21153870967741908,20.72236970834669,1928
chrV,367838,372013,mRNA,-,10456,0.19930290448343088,122.34388669036889,4175
chrV,373448,374545,mRNA,-,2026,0.2157398717948717,19.068707907153854,1097
chrV,387932,390052,mRNA,-,3695,0.25591836734693874,23.97933614997622,2120
chrV,394292,394867,mRNA,-,767,0.1952851282051284,3.2058691071062633,575
chrV,396769,397653,mRNA,+,27234,0.2087278498293512,413.04013617990256,884
chrV,399496,400842,mRNA,-,2067,0.1995165876777251,85.22627410284585,1346
chrV,401135,401869,mRNA,+,6973,0.18951227495908346,15.269200407880406,734
chrV,402871,404352,mRNA,-,6068,0.18914678899082574,113.73033083266716,1481
chrV,410189,412618,mRNA,+,14770,0.256358024691358,65.68898411723706,2429
chrV,414481,415554,mRNA,+,1870,0.21460000000000004,35.11634842386435,1073
chrV,417281,420709,mRNA,+,6681,0.2102786885245901,52.69229382546797,3428
chrV,423591,424311,mRNA,+,19314,0.2097398989898989,159.9234638900033,720
chrV,432495,433958,mRNA,+,9248,0.19662295081967213,71.91060162843766,1463
chrV,437267,437803,mRNA,-,1389,0.2358352272727273,24.245469005074177,536
chrV,439616,440971,mRNA,+,5902,0.19576974269005845,58.58765634504917,1355
chrV,441575,441880,mRNA,+,175,0.20290834234234265,16.50732328198686,305
chrV,450563,451243,mRNA,-,732,0.19857777777777785,21.329020868008925,680
chrV,453459,454919,mRNA,+,3651,0.2432663438256661,62.21629972065524,1460
chrV,456319,457605,mRNA,+,1754,0.2002483493975904,16.484581025349414,1286
chrV,460526,461740,mRNA,-,4352,0.1916974535050072,142.3075966607071,1214
chrV,462585,462866,mRNA,+,1829,0.19482152542372852,9.605996515780152,281
chrV,465203,465613,mRNA,-,1986,0.25124478991596644,4.402173253875597,410
chrV,466208,467470,mRNA,-,1535,0.20002000000000011,41.779947837673134,1262
chrV,472657,473988,mRNA,-,2708,0.18995708154506424,6.745115837051486,1331
chrV,474041,474805,mRNA,-,1045,0.1895125586353945,24.353575524911243,764
chrV,476345,482848,mRNA,-,27879,0.2304820192307691,207.38312557930425,6503
chrV,488857,490578,mRNA,-,1182,0.19615893432465945,43.13446940767477,1721
chrV,499347,500348,mRNA,-,1608,0.1859327149321265,19.98178181652867,1001
chrV,503084,503782,mRNA,-,1511,0.24414936708860754,16.533166489115985,698
chrV,510373,512106,mRNA,+,26099,0.15085666666666664,332.35233488386393,1733
chrV,521029,522669,mRNA,-,2298,0.2053652567237164,51.281814736750775,1640
chrV,527082,529418,mRNA,+,2991,0.2411081081081081,60.276198624482134,2336
chrV,536275,536655,mRNA,-,218,0.19306736,14.953684096325524,380
chrV,538434,539168,mRNA,-,1487,0.215587172538392,31.605512542531834,734
chrV,540650,540814,mRNA,+,168,0.20523561377245525,3.140396919346684,164
chrV,545611,546414,mRNA,+,24629,0.2075576923076924,72.75510272586008,803
chrV,548421,549517,mRNA,+,416,0.2003721824104233,1.754587834934144,1096
chrV,550865,551122,mRNA,-,351,0.22094261627906966,8.536406524138906,257
chrV,552525,553259,mRNA,+,1122,0.2218114285714286,20.820990339929935,734
chrV,556296,558680,mRNA,-,1601,0.2066659813084113,9.579985990158765,2384
chrV,561705,562625,mRNA,-,2092,0.23286538812785385,55.7235628028866,920
chrV,568040,568759,mRNA,+,352,0.2205103857566763,4.699402837538973,719
chrV,571155,571523,mRNA,+,67,0.18849774509803965,1.169953376173864,368
chrV,574804,575379,mRNA,-,0,0.1812516333938296,0.49922013067230786,575
chrVI,836,1363,mRNA,+,79,0.19681136950904374,3.011433576736441,527
chrVI,3322,3846,mRNA,-,34,0.1848839224806204,3.4944891885120493,524
chrVI,6426,7565,mRNA,+,108,0.1827659731543624,2.6566542824134203,1139
chrVI,10301,10969,mRNA,-,85,0.1960827594627592,1.1477504766768938,668
chrVI,12929,13951,mRNA,+,88,0.2008626853377265,17.179169433144665,1022
chrVI,20847,22787,mRNA,-,1518,0.19113363894139865,49.695273460567236,1940
chrVI,28232,29629,mRNA,+,357,0.20280745341614909,47.64463653918693,1397
chrVI,33272,35848,mRNA,-,1919,0.19780999999999985,36.04852298020887,2576
chrVI,38843,40180,mRNA,-,3804,0.19267187393526364,38.42571148850883,1337
chrVI,42815,43438,mRNA,+,1047,0.1920005104712043,43.393577180757106,623
chrVI,44655,45560,mRNA,-,1114,0.18978402366863906,18.40243982728232,905
chrVI,51350,52972,mRNA,+,636,0.2126076229508196,24.867065178484946,1622
chrVI,56336,57709,mRNA,+,10282,0.20735725165562915,230.57199006699884,1373
chrVI,63016,63993,mRNA,-,1014,0.20191642126789386,21.084845525147344,977
chrVI,65477,68698,mRNA,+,3209,0.2516956521739128,70.06941582511244,3221
chrVI,74872,75192,mRNA,+,3592,0.2070978125,108.54392249202667,320
chrVI,76014,76115,mRNA,-,3832,0.23285714285714285,20.61181829856619,101
chrVI,78055,79161,mRNA,-,939,0.16915311594202898,10.576825889342356,1106
chrVI,80419,81912,mRNA,-,2610,0.18977734883720895,3.1720853402949736,1493
chrVI,84145,87234,mRNA,-,3262,0.1931611846689896,94.48187438550117,3089
chrVI,90986,93376,mRNA,+,2563,0.19179629629629644,35.431165250841026,2390
chrVI,95761,96615,mRNA,-,522,0.21707870689655165,24.216122463481046,854
chrVI,99231,99599,mRNA,-,134,0.1976654491017964,5.5431024336571575,368
chrVI,101628,103127,mRNA,-,8344,0.20721848739495785,19.784396325295653,1499
chrVI,103983,104462,mRNA,-,1320,0.20806039759036124,1.933943045224738,479
chrVI,106415,106732,mRNA,+,112,0.2134870720720721,4.33496017196608,317
chrVI,107256,107585,mRNA,+,16601,0.1938131123388584,145.02715744458493,329
chrVI,107852,109930,mRNA,-,2373,0.19602173863636368,52.524243033074924,2078
chrVI,110647,111093,mRNA,+,91,0.20008058577405866,5.992609697662299,446
chrVI,114990,115274,mRNA,+,1520,0.24031102564102555,14.278820037203618,284
chrVI,116145,118484,mRNA,+,3878,0.1881756569343066,20.950589954956044,2339
chrVI,123479,129910,mRNA,+,14924,0.18633140000000026,336.7049440531591,6431
chrVI,131810,134296,mRNA,+,7936,0.1873273752969121,158.87133854551587,2486
chrVI,145114,146934,mRNA,-,2956,0.22291324921135675,68.07941288955597,1820
chrVI,149110,149724,mRNA,+,2488,0.23732396887159504,30.156202263695715,614
chrVI,153393,154313,mRNA,+,3484,0.19522431372548965,43.01004675807792,920
chrVI,156145,157752,mRNA,+,3964,0.19938897321428567,52.782337382319966,1607
chrVI,160535,161200,mRNA,+,535,0.21328851999999973,16.23629558589375,665
chrVI,163875,164132,mRNA,+,1988,0.19662224675324666,1.6473577296627866,257
chrVI,167888,168496,mRNA,+,180,0.1892397959183674,7.567467359832487,608
chrVI,169922,172285,mRNA,+,3053,0.21777828828828832,24.130233117422904,2363
chrVI,174265,176391,mRNA,-,3308,0.2346917293233081,133.73365048183842,2126
chrVI,182274,182861,mRNA,-,426,0.20313500000000007,2.9751015742332347,587
chrVI,194812,196314,mRNA,+,1686,0.1730626470588236,90.11906344476604,1502
chrVI,199874,201709,mRNA,+,447,0.20207364705882355,13.157128511804752,1835
chrVI,203743,204750,mRNA,-,2214,0.19784670231729065,3.7414979554757544,1007
chrVI,207452,208297,mRNA,+,739,0.2094908801498128,10.896195596078817,845
chrVI,210937,212973,mRNA,+,1828,0.2130083217753123,21.816638626216925,2036
chrVI,216594,220106,mRNA,-,4253,0.2007421321321324,145.91603535174903,3512
chrVI,222090,222959,mRNA,-,585,0.21416572183098612,39.63825823749126,869
chrVI,224326,224769,mRNA,-,3473,0.1908990276406712,77.08384413457605,443
chrVI,226022,226309,mRNA,+,402,0.19084855932203387,0.839509833769025,287
chrVI,227513,229186,mRNA,-,5658,0.20633078073089733,163.12784190101235,1673
chrVI,232012,233544,mRNA,-,2259,0.1860060308285164,17.64699109266723,1532
chrVI,237368,238255,mRNA,-,1541,0.18911285714285714,29.965011455127502,887
chrVI,239114,239827,mRNA,-,843,0.2085854825462012,19.19469661450883,713
chrVI,241998,242999,mRNA,+,657,0.20258284023668616,20.08333995929214,1001
chrVI,244279,245166,mRNA,-,3113,0.2226986301369864,4.591507092656984,887
chrVI,248523,248894,mRNA,+,982,0.18610394636015296,3.583908479687946,371
chrVI,250163,251803,mRNA,-,5162,0.19470007444168733,28.59818591552037,1640
chrVI,253429,253734,mRNA,-,1697,0.208943137254902,9.99280473010647,305
chrVI,258855,259433,mRNA,-,112,0.2510713529411765,2.102720804150949,578
chrVI,264204,265226,mRNA,+,1153,0.2298316905444125,40.00927705579254,1022
chrVII,6290,6652,mRNA,-,28,0.2292855963302752,0.9253623923698178,362
chrVII,8470,8967,mRNA,+,169,0.2178606557377048,4.386025290220177,497
chrVII,11110,11730,mRNA,+,265,0.1860478523489933,12.715411071548935,620
chrVII,15159,16307,mRNA,+,2204,0.19545292620865126,42.83745128857366,1148
chrVII,22304,23203,mRNA,+,706,0.19575120370370366,29.842710749011687,899
chrVII,25718,27484,mRNA,-,3392,0.1887755381165918,9.815429033973047,1766
chrVII,31910,32635,mRNA,+,594,0.2098188333333333,27.396313225023217,725
chrVII,35653,36762,mRNA,+,2191,0.1994385750962777,2.223703859262418,1109
chrVII,37617,38780,mRNA,-,2236,0.18482579301075272,28.937388542510007,1163
